epochMs,queueSize,queueCapacity,droppedOverflow,exportFailures,exportTimeouts
1781143544875,1,32,0,1,0
1781143549910,28,32,97,74,0
1781143554923,25,32,117,165,0
1781143559928,31,32,133,256,0
1781143564942,24,32,142,348,0
1781143569950,1,32,154,440,0
1781143574957,24,32,162,531,0
1781143579974,8,32,177,623,0
1781143584979,23,32,182,714,0
1781143589993,11,32,189,806,0
1781143594998,31,32,193,897,0
1781143600011,28,32,206,988,0
1781143605033,4,32,212,1080,0
1781143610041,22,32,215,1170,0
1781143615057,16,32,222,1262,0
1781143620062,13,32,223,1353,0
1781143625077,9,32,223,1445,0
1781143630084,1,32,224,1537,0
1781143635101,5,32,228,1629,0
1781143640124,7,32,230,1721,0
1781143645130,26,32,230,1812,0
1781143650138,5,32,231,1904,0
1781143655149,18,32,232,1995,0
1781143660163,14,32,234,2087,0
1781143665167,12,32,234,2179,0
1781143670174,27,32,236,2270,0
1781143675189,16,32,237,2362,0
1781143680203,27,32,238,2453,0
1781143685216,18,32,238,2545,0
1781143690224,28,32,244,2636,0
1781143695228,14,32,245,2728,0
1781143700237,5,32,246,2820,0
1781143705246,20,32,247,2911,0
1781143710255,3,32,248,3003,0
1781143715267,6,32,250,3094,0
1781143720282,4,32,252,3186,0
1781143725294,16,32,253,3277,0
1781143730298,7,32,254,3369,0
1781143735308,8,32,257,3460,0
1781143740315,14,32,258,3551,0
1781143745317,2,32,260,3643,0
1781143750325,21,32,262,3734,0
1781143755326,22,32,264,3825,0
1781143760346,18,32,264,3917,0
1781143765364,16,32,266,4009,0
1781143770373,10,32,266,4101,0
1781143775380,4,32,266,4193,0
1781143780387,21,32,266,4284,0
1781143785389,12,32,267,4376,0
1781143790404,14,32,268,4468,0
1781143795408,3,32,269,4560,0
1781143800410,9,32,269,4651,0
1781143805417,23,32,272,4742,0
1781143810422,9,32,272,4834,0
1781143815433,3,32,274,4922,0
1781143820442,6,32,275,4968,0
1781143825444,11,32,279,5014,0
1781143830459,0,32,280,5057,0
1781143835472,6,32,280,5066,0
1781143840474,11,32,280,5076,0
1781143845489,21,32,280,5085,0
1781143850497,31,32,280,5095,0
1781143855507,15,32,280,5105,0
1781143860526,4,32,280,5117,0
1781143865544,18,32,280,5126,0
1781143870552,26,32,280,5135,0
1781143875558,17,32,280,5146,0
1781143880566,6,32,280,5156,0
1781143885580,27,32,280,5163,0
1781143890595,22,32,280,5174,0
1781143895603,6,32,280,5185,0
1781143900621,25,32,281,5194,0
1781143905625,8,32,281,5204,0
1781143910632,13,32,281,5213,0
1781143915647,23,32,281,5221,0
1781143920653,14,32,281,5230,0
1781143925667,2,32,281,5239,0
1781143930677,5,32,281,5249,0
1781143935678,0,32,281,5261,0
1781143940696,18,32,281,5270,0
1781143945710,18,32,281,5280,0
1781143950719,20,32,281,5290,0
1781143955725,28,32,281,5299,0
1781143960732,20,32,281,5310,0
1781143965741,23,32,281,5320,0
