epochMs,queueSize,queueCapacity,droppedOverflow,exportFailures,exportTimeouts
1781144448908,0,0,0,0,0
1781144453924,0,0,0,0,0
1781144458927,0,0,0,0,0
1781144463943,0,0,0,0,0
1781144468957,0,0,0,0,0
1781144473958,0,0,0,0,0
1781144478962,0,0,0,0,0
1781144483992,0,0,0,0,0
1781144489004,0,0,0,0,0
1781144494032,0,0,0,0,0
1781144499037,0,0,0,0,0
1781144504052,0,0,0,0,0
1781144509064,0,0,0,0,0
1781144514079,0,0,0,0,0
1781144519095,0,0,0,0,0
1781144524112,0,0,0,0,0
1781144529114,0,0,0,0,0
1781144534115,0,0,0,0,0
1781144539118,0,0,0,0,0
1781144544128,0,0,0,0,0
1781144549143,0,0,0,0,0
1781144554163,0,0,0,0,0
1781144559179,0,0,0,0,0
1781144564192,0,0,0,0,0
1781144569205,0,0,0,0,0
1781144574220,0,0,0,0,0
1781144579234,0,0,0,0,0
1781144584250,0,0,0,0,0
1781144589252,0,0,0,0,0
1781144594270,0,0,0,0,0
1781144599285,0,0,0,0,0
1781144604288,0,0,0,0,0
1781144609298,0,0,0,0,0
1781144614314,0,0,0,0,0
1781144619334,0,0,0,0,0
1781144624340,0,0,0,0,0
1781144629353,0,0,0,0,0
1781144634354,0,0,0,0,0
1781144639364,0,0,0,0,0
1781144644380,0,0,0,0,0
1781144649389,0,0,0,0,0
1781144654393,0,0,0,0,0
1781144659402,0,0,0,0,0
1781144664410,0,0,0,0,0
1781144669414,0,0,0,0,0
1781144674421,0,0,0,0,0
1781144679426,0,0,0,0,0
1781144684430,0,0,0,0,0
1781144689442,0,0,0,0,0
1781144694455,0,0,0,0,0
1781144699465,0,0,0,0,0
1781144704468,0,0,0,0,0
1781144709486,0,0,0,0,0
1781144714491,0,0,0,0,0
1781144719507,0,0,0,0,0
1781144724511,0,0,0,0,0
1781144729526,0,0,0,0,0
1781144734531,0,0,0,0,0
1781144739536,0,0,0,0,0
1781144744541,0,0,0,0,0
1781144749553,0,0,0,0,0
1781144754565,0,0,0,0,0
1781144759577,0,0,0,0,0
1781144764583,0,0,0,0,0
1781144769590,0,0,0,0,0
1781144774599,0,0,0,0,0
1781144779602,0,0,0,0,0
1781144784614,0,0,0,0,0
1781144789628,0,0,0,0,0
1781144794634,0,0,0,0,0
1781144799649,0,0,0,0,0
1781144804665,0,0,0,0,0
1781144809667,0,0,0,0,0
1781144814683,0,0,0,0,0
1781144819705,0,0,0,0,0
1781144824718,0,0,0,0,0
1781144829724,0,0,0,0,0
1781144834728,0,0,0,0,0
1781144839737,0,0,0,0,0
1781144844739,0,0,0,0,0
1781144849755,0,0,0,0,0
1781144854770,0,0,0,0,0
1781144859780,0,0,0,0,0
1781144864795,0,0,0,0,0
1781144869810,0,0,0,0,0
