epochMs,queueSize,queueCapacity,droppedOverflow,exportFailures,exportTimeouts
1781145802616,0,2048,0,1,0
1781145807631,136,2048,0,2,0
1781145812644,131,2048,0,3,0
1781145817647,140,2048,0,4,0
1781145822649,148,2048,0,5,0
1781145827658,165,2048,0,6,0
1781145832662,169,2048,0,7,0
1781145837680,141,2048,0,8,0
1781145842685,165,2048,0,9,0
1781145847693,156,2048,0,10,0
1781145852702,132,2048,0,11,0
1781145857713,139,2048,0,12,0
1781145862724,154,2048,0,13,0
1781145867740,152,2048,0,14,0
1781145872754,153,2048,0,15,0
1781145877771,165,2048,0,16,0
1781145882786,160,2048,0,17,0
1781145887802,114,2048,0,18,0
1781145892810,163,2048,0,19,0
1781145897823,131,2048,0,20,0
1781145902827,147,2048,0,21,0
1781145907833,137,2048,0,22,0
1781145912841,167,2048,0,23,0
1781145917855,157,2048,0,24,0
1781145922865,143,2048,0,25,0
1781145927871,168,2048,0,26,0
1781145932885,147,2048,0,27,0
1781145937887,216,2048,0,28,0
1781145942920,174,2048,0,29,0
1781145947932,169,2048,0,30,0
1781145952940,145,2048,0,31,0
1781145957948,167,2048,0,32,0
1781145962950,160,2048,0,33,0
1781145967960,165,2048,0,34,0
1781145972968,130,2048,0,35,0
1781145977973,172,2048,0,36,0
1781145982985,156,2048,0,37,0
1781145987993,160,2048,0,38,0
1781145993004,156,2048,0,39,0
1781145998010,160,2048,0,40,0
1781146003022,198,2048,0,41,0
1781146008032,163,2048,0,42,0
1781146013037,184,2048,0,43,0
1781146018053,184,2048,0,44,0
1781146023068,144,2048,0,45,0
1781146028085,183,2048,0,46,0
1781146033115,153,2048,0,47,0
1781146038115,147,2048,0,48,0
1781146043131,175,2048,0,49,0
1781146048159,162,2048,0,50,0
1781146053162,157,2048,0,51,0
1781146058180,187,2048,0,52,0
1781146063191,192,2048,0,53,0
1781146068216,186,2048,0,54,0
1781146073220,182,2048,0,55,0
1781146078235,193,2048,0,56,0
1781146083243,173,2048,0,57,0
1781146088265,159,2048,0,58,0
1781146093269,174,2048,0,59,0
1781146098281,174,2048,0,60,0
1781146103287,200,2048,0,61,0
1781146108297,176,2048,0,62,0
1781146113301,195,2048,0,63,0
1781146118314,150,2048,0,64,0
1781146123320,167,2048,0,65,0
1781146128328,197,2048,0,66,0
1781146133334,192,2048,0,67,0
1781146138340,196,2048,0,68,0
1781146143349,168,2048,0,69,0
1781146148355,188,2048,0,70,0
1781146153365,187,2048,0,71,0
1781146158372,176,2048,0,72,0
1781146163378,181,2048,0,73,0
1781146168392,187,2048,0,74,0
1781146173409,180,2048,0,75,0
1781146178425,221,2048,0,76,0
1781146183437,205,2048,0,77,0
1781146188444,162,2048,0,78,0
1781146193455,189,2048,0,79,0
1781146198463,210,2048,0,80,0
1781146203470,186,2048,0,81,0
1781146208479,210,2048,0,82,0
1781146213482,197,2048,0,83,0
1781146218492,195,2048,0,84,0
1781146223497,216,2048,0,85,0
1781146228498,205,2048,0,86,0
1781146233501,220,2048,0,87,0
1781146238507,194,2048,0,88,0
1781146243516,206,2048,0,89,0
1781146248528,219,2048,0,90,0
1781146253537,244,2048,0,91,0
1781146258554,206,2048,0,92,0
1781146263567,210,2048,0,93,0
1781146268574,220,2048,0,94,0
1781146273589,202,2048,0,95,0
1781146278614,209,2048,0,96,0
1781146283625,230,2048,0,97,0
1781146288633,245,2048,0,98,0
1781146293642,202,2048,0,99,0
1781146298646,179,2048,0,100,0
1781146303671,170,2048,0,101,0
1781146308677,222,2048,0,102,0
1781146313700,200,2048,0,103,0
1781146318707,196,2048,0,104,0
1781146323725,220,2048,0,105,0
1781146328727,231,2048,0,106,0
1781146333743,211,2048,0,107,0
1781146338756,251,2048,0,108,0
1781146343758,230,2048,0,109,0
1781146348772,203,2048,0,110,0
1781146353786,223,2048,0,111,0
1781146358788,220,2048,0,112,0
1781146363803,208,2048,0,113,0
1781146368814,198,2048,0,114,0
1781146373831,217,2048,0,115,0
1781146378846,207,2048,0,116,0
1781146383852,218,2048,0,117,0
1781146388867,207,2048,0,118,0
1781146393879,271,2048,0,119,0
1781146398885,217,2048,0,120,0
